precinct,lastname
clarkstown 1,648
clarkstown 10,985
clarkstown 11,1113
clarkstown 12,756
clarkstown 13,703
clarkstown 14,600
clarkstown 15,759
clarkstown 16,898
clarkstown 17,927
clarkstown 18,663
clarkstown 19,1066
clarkstown 2,1148
clarkstown 20,471
clarkstown 21,793
clarkstown 22,619
clarkstown 23,733
clarkstown 24,1114
clarkstown 25,568
clarkstown 26,648
clarkstown 27,1010
clarkstown 28,730
clarkstown 29,591
clarkstown 3,537
clarkstown 30,781
clarkstown 31,1161
clarkstown 32,1332
clarkstown 33,538
clarkstown 34,637
clarkstown 35,1218
clarkstown 36,1175
clarkstown 37,908
clarkstown 38,913
clarkstown 39,461
clarkstown 4,494
clarkstown 40,679
clarkstown 41,930
clarkstown 42,919
clarkstown 43,1173
clarkstown 44,1175
clarkstown 45,825
clarkstown 46,905
clarkstown 47,1053
clarkstown 48,529
clarkstown 49,412
clarkstown 5,605
clarkstown 50,552
clarkstown 51,1025
clarkstown 52,968
clarkstown 53,683
clarkstown 54,635
clarkstown 55,588
clarkstown 56,694
clarkstown 57,1346
clarkstown 58,672
clarkstown 59,960
clarkstown 6,482
clarkstown 60,1026
clarkstown 61,985
clarkstown 62,45
clarkstown 63,669
clarkstown 64,750
clarkstown 65,597
clarkstown 66,678
clarkstown 67,973
clarkstown 68,983
clarkstown 69,819
clarkstown 7,778
clarkstown 70,767
clarkstown 71,328
clarkstown 72,905
clarkstown 73,1725
clarkstown 74,1123
clarkstown 75,1149
clarkstown 76,626
clarkstown 77,529
clarkstown 78,623
clarkstown 79,823
clarkstown 8,823
clarkstown 80,678
clarkstown 81,1266
clarkstown 82,822
clarkstown 83,495
clarkstown 84,635
clarkstown 85,90
clarkstown 86,347
clarkstown 87,401
clarkstown 9,1163
haverstraw 1,937
haverstraw 10,1269
haverstraw 11,487
haverstraw 12,198
haverstraw 13,1073
haverstraw 14,1203
haverstraw 15,718
haverstraw 16,1201
haverstraw 17,977
haverstraw 18,922
haverstraw 19,692
haverstraw 2,1150
haverstraw 20,1006
haverstraw 21,631
haverstraw 22,1193
haverstraw 23,813
haverstraw 24,395
haverstraw 25,655
haverstraw 26,260
haverstraw 27,97
haverstraw 28,867
haverstraw 29,622
haverstraw 3,686
haverstraw 30,828
haverstraw 31,750
haverstraw 32,275
haverstraw 33,698
haverstraw 4,654
haverstraw 5,766
haverstraw 6,835
haverstraw 7,970
haverstraw 8,517
haverstraw 9,619
orangetown 1,1274
orangetown 10,558
orangetown 11,1028
orangetown 12,978
orangetown 13,736
orangetown 14,815
orangetown 15,525
orangetown 16,824
orangetown 17,877
orangetown 18,718
orangetown 19,711
orangetown 2,1176
orangetown 20,1045
orangetown 21,688
orangetown 22,914
orangetown 23,693
orangetown 24,646
orangetown 25,687
orangetown 26,1187
orangetown 27,637
orangetown 28,967
orangetown 29,818
orangetown 3,640
orangetown 30,664
orangetown 32,357
orangetown 33,958
orangetown 34,791
orangetown 36,162
orangetown 39,680
orangetown 4,669
orangetown 40,851
orangetown 41,1083
orangetown 42,848
orangetown 43,808
orangetown 45,877
orangetown 46,549
orangetown 47,812
orangetown 48,799
orangetown 49,1130
orangetown 5,678
orangetown 50,627
orangetown 51,595
orangetown 53,745
orangetown 54,838
orangetown 55,937
orangetown 56,689
orangetown 57,585
orangetown 6,531
orangetown 7,736
orangetown 8,735
orangetown 9,1411
ramapo 1,882
ramapo 10,834
ramapo 100,6
ramapo 101,162
ramapo 102,285
ramapo 103,256
ramapo 104,52
ramapo 105,26
ramapo 106,20
ramapo 107,6
ramapo 108,117
ramapo 109,381
ramapo 11,626
ramapo 110,338
ramapo 111,1095
ramapo 112,997
ramapo 113,491
ramapo 114,662
ramapo 115,659
ramapo 116,638
ramapo 117,670
ramapo 118,725
ramapo 119,252
ramapo 12,810
ramapo 120,122
ramapo 121,37
ramapo 122,40
ramapo 13,1126
ramapo 14,536
ramapo 15,556
ramapo 16,1220
ramapo 17,1220
ramapo 18,852
ramapo 19,1176
ramapo 2,589
